Name	#Node	#Edge	Motifs
10-0	50	692	12 16 18 19 
10-1	50	708	1 12 14 19 
10-2	50	885	11 15 16 17 19 
10-3	50	632	1 10 12 13 16 17 19 
10-4	50	747	1 9 11 12 17 18 19 
10-5	50	661	9 10 11 12 15 16 18 19 
10-6	50	612	12 13 14 15 16 17 18 19 
10-7	50	699	10 11 12 13 14 16 18 19 
10-8	50	608	3 10 15 17 
10-9	50	670	13 14 15 16 17 19 
11-0	50	913	1 4 10 11 12 14 15 16 17 19 
11-1	50	672	7 10 12 16 17 18 19 
11-2	50	668	2 10 14 15 16 17 19 
11-3	50	543	10 11 12 15 16 18 19 
11-4	50	624	2 5 12 13 14 16 18 19 
11-5	50	737	11 13 17 19 
11-6	50	613	7 11 12 14 19 
11-7	50	682	12 13 15 16 18 
11-8	50	680	7 10 12 14 16 17 18 19 
11-9	50	752	0 3 12 15 19 
12-0	50	725	5 8 11 12 14 15 16 18 19 
12-1	50	798	1 3 10 12 15 16 17 18 19 
12-2	50	852	2 6 9 10 12 13 14 16 17 18 
12-3	50	610	3 4 14 16 17 19 
12-4	50	655	0 6 10 11 12 13 17 19 
12-5	50	640	3 6 7 8 12 15 16 17 19 
12-6	50	668	9 10 13 15 16 18 19 
12-7	50	625	3 5 11 14 16 17 18 19 
12-8	50	782	6 10 12 15 18 19 
12-9	50	658	10 12 13 15 19 
13-0	50	582	2 10 12 15 16 
13-1	50	827	7 10 11 12 13 14 16 17 18 19 
13-2	50	672	14 16 17 19 
13-3	50	721	10 11 12 15 16 17 19 
13-4	50	646	9 13 14 15 16 17 18 19 
13-5	50	625	8 10 11 12 16 18 19 
13-6	50	810	10 12 13 14 19 
13-7	50	674	12 17 18 19 
13-8	50	680	9 10 12 16 19 
13-9	50	701	2 11 12 15 18 19 
14-0	50	573	11 14 15 17 19 
14-1	50	695	4 6 10 11 12 13 14 16 19 
14-2	50	646	5 10 12 13 15 16 18 19 
14-3	50	647	1 8 11 12 14 17 18 
14-4	50	727	10 11 12 17 18 19 
14-5	50	718	10 12 13 15 16 19 
14-6	50	664	3 6 7 13 14 15 16 17 18 19 
14-7	50	600	5 12 13 19 
14-8	50	696	10 16 18 19 
14-9	50	598	13 14 16 17 
15-0	50	615	3 11 12 14 16 18 19 
15-1	50	686	0 3 5 10 12 14 17 18 19 
15-2	50	667	0 11 12 13 16 18 19 
15-3	50	632	0 1 10 13 16 17 19 
15-4	50	590	10 12 15 16 17 19 
15-5	50	537	3 11 12 14 15 17 18 19 
15-6	50	614	12 15 16 18 
15-7	50	644	13 16 19 
15-8	50	701	9 11 12 13 14 15 19 
15-9	50	668	10 12 17 19 
16-0	50	646	2 16 17 18 19 
16-1	50	693	0 4 7 11 12 14 19 
16-2	50	645	10 11 13 14 19 
16-3	50	707	8 9 10 11 12 16 17 18 19 
16-4	50	674	10 12 13 14 17 19 
16-5	50	678	0 12 15 16 17 19 
16-6	50	823	10 11 13 16 18 
16-7	50	710	12 15 16 19 
16-8	50	800	7 10 12 13 15 16 17 18 19 
16-9	50	718	4 12 14 15 18 19 
17-0	50	716	3 10 12 16 17 19 
17-1	50	688	7 10 12 15 16 17 19 
17-2	50	691	11 12 14 16 19 
17-3	50	715	7 10 11 14 18 
17-4	50	686	13 15 16 17 18 19 
17-5	50	746	1 2 4 10 12 13 15 16 18 19 
17-6	50	696	5 12 18 19 
17-7	50	681	10 11 13 14 16 17 18 19 
17-8	50	608	6 10 12 14 17 19 
17-9	50	630	8 12 15 19 
18-0	50	676	10 12 16 17 19 
18-1	50	736	0 5 10 12 13 16 17 18 19 
18-2	50	622	8 14 17 19 
18-3	50	784	10 12 13 16 18 19 
18-4	50	559	9 11 12 14 16 17 
18-5	50	701	9 11 12 14 15 16 18 19 
18-6	50	697	10 11 12 15 16 17 19 
18-7	50	868	6 10 12 13 14 15 19 
18-8	50	618	13 14 18 19 
18-9	50	623	11 12 15 16 18 19 
19-0	50	630	12 13 14 16 19 
19-1	50	616	10 12 16 18 19 
19-2	50	688	7 15 17 19 
19-3	50	542	0 12 16 17 18 19 
19-4	50	886	1 10 14 18 19 
19-5	50	734	8 10 14 18 19 
19-6	50	645	11 12 13 15 16 17 18 19 
19-7	50	518	1 10 12 15 17 18 
19-8	50	729	11 12 13 16 17 19 
19-9	50	641	10 11 12 13 15 16 19 
