Name	#Node	#Edge	Motifs
0-0	50	676	1 2 4 5 6 7 15 
0-1	50	678	0 1 4 5 9 18 
0-2	50	692	1 2 3 6 7 8 9 14 
0-3	50	720	2 3 5 6 7 8 9 18 19 
0-4	50	806	0 1 2 6 7 8 10 
0-5	50	610	1 2 3 4 6 9 16 
0-6	50	648	0 3 4 6 7 19 
0-7	50	722	0 3 6 8 
0-8	50	770	0 4 5 8 9 19 
0-9	50	622	1 2 4 7 8 
1-0	50	578	1 4 5 6 7 8 
1-1	50	702	1 2 3 5 6 7 8 9 
1-2	50	656	0 8 
1-3	50	708	0 1 2 3 4 7 8 
1-4	50	694	0 4 8 9 
1-5	50	722	1 3 5 6 7 9 
1-6	50	584	0 1 2 4 6 
1-7	50	566	2 3 4 6 7 8 9 
1-8	50	714	0 1 2 5 6 7 8 
1-9	50	628	2 3 7 8 9 
2-0	50	784	3 4 5 7 8 9 18 19 
2-1	50	646	1 5 6 9 12 
2-2	50	684	0 1 4 5 7 8 9 18 
2-3	50	674	0 1 2 7 8 12 
2-4	50	728	0 1 2 3 4 5 6 7 18 
2-5	50	778	2 6 7 8 9 10 
2-6	50	722	1 2 3 6 8 13 
2-7	50	740	0 2 6 7 8 9 
2-8	50	664	1 2 3 4 6 9 15 
2-9	50	726	0 3 4 5 9 15 
3-0	50	700	2 3 8 9 18 
3-1	50	548	1 2 6 7 8 9 
3-2	50	754	1 3 4 8 12 
3-3	50	818	0 2 4 5 6 7 9 12 
3-4	50	722	0 1 2 6 8 9 
3-5	50	622	0 4 5 7 9 
3-6	50	600	0 1 3 5 6 7 
3-7	50	618	0 1 2 6 8 
3-8	50	616	1 2 3 4 5 7 
3-9	50	646	3 4 5 6 7 8 9 16 
4-0	50	654	1 2 3 4 5 7 8 9 
4-1	50	644	3 4 5 9 13 
4-2	50	684	1 2 5 6 7 8 
4-3	50	578	5 6 7 8 
4-4	50	648	2 6 7 9 
4-5	50	728	0 1 5 6 7 8 
4-6	50	800	0 1 3 4 6 7 8 9 17 18 
4-7	50	672	0 1 4 6 7 8 10 
4-8	50	684	0 1 2 3 6 9 12 
4-9	50	696	2 4 5 7 8 9 12 18 
5-0	50	662	0 2 6 8 9 10 
5-1	50	630	0 1 4 7 8 9 10 
5-2	50	768	1 2 3 4 7 8 18 
5-3	50	698	4 5 6 7 8 
5-4	50	548	3 4 5 9 
5-5	50	698	0 1 5 6 7 9 
5-6	50	780	0 2 3 4 6 7 8 9 14 
5-7	50	682	0 1 2 4 5 6 
5-8	50	576	1 2 6 12 13 
5-9	50	708	1 2 3 5 6 7 8 9 10 
6-0	50	696	1 5 6 7 8 10 14 17 
6-1	50	590	0 1 3 5 6 7 8 9 
6-2	50	712	0 1 4 7 8 
6-3	50	596	0 2 3 4 6 7 8 15 
6-4	50	646	2 3 4 9 15 17 
6-5	50	634	0 2 5 8 9 
6-6	50	866	1 2 3 6 9 
6-7	50	664	1 4 6 8 9 
6-8	50	628	1 2 3 4 5 6 7 
6-9	50	758	0 2 5 7 9 
7-0	50	626	1 3 4 6 7 8 9 10 16 
7-1	50	612	1 3 4 6 9 
7-2	50	696	1 2 3 4 5 6 7 8 9 16 
7-3	50	604	0 2 5 7 
7-4	50	610	3 4 5 6 7 8 
7-5	50	660	0 2 7 
7-6	50	672	0 2 6 7 8 
7-7	50	812	0 2 3 5 8 9 10 
7-8	50	692	0 1 2 6 8 13 
7-9	50	580	1 3 4 6 8 9 13 
8-0	50	666	0 2 4 6 8 
8-1	50	694	0 3 5 6 7 8 9 
8-2	50	692	0 1 2 4 8 9 
8-3	50	586	0 2 3 5 6 7 9 10 
8-4	50	638	1 2 3 6 7 8 10 12 
8-5	50	726	0 3 8 9 16 
8-6	50	546	1 2 3 5 6 7 8 
8-7	50	702	1 4 7 10 
8-8	50	740	2 6 7 
8-9	50	758	0 1 2 3 4 5 6 8 9 19 
9-0	50	696	1 5 7 9 
9-1	50	748	0 2 3 6 7 8 
9-2	50	512	0 2 7 16 
9-3	50	652	1 2 4 5 6 7 8 16 
9-4	50	846	2 4 6 8 9 13 16 18 
9-5	50	586	0 1 2 3 4 5 6 7 8 
9-6	50	718	0 1 3 4 5 6 7 8 9 13 19 
9-7	50	696	0 3 4 5 7 14 15 17 
9-8	50	594	3 6 9 13 15 
9-9	50	698	1 2 4 5 6 7 8 9 
