ID	#Node	#Edge	Prob.OnPos	Prob.OnNeg	Structure
0	3	2	0.500000	0.090000	(23,40) (29,40) 
1	3	2	0.570000	0.100000	(20,32) (32,49) 
2	3	2	0.600000	0.070000	(16,31) (31,45) 
3	3	2	0.500000	0.110000	(20,40) (38,40) 
4	3	2	0.520000	0.060000	(16,45) (21,45) 
5	3	2	0.480000	0.080000	(3,10) (3,31) 
6	3	2	0.660000	0.080000	(11,42) (11,47) 
7	3	2	0.650000	0.110000	(12,25) (25,33) 
8	3	2	0.650000	0.080000	(0,17) (17,39) 
9	3	2	0.560000	0.100000	(4,46) (8,46) 
10	3	2	0.120000	0.510000	(1,8) (8,18) 
11	3	2	0.000000	0.370000	(11,28) (28,28) 
12	3	2	0.080000	0.730000	(31,41) (31,43) 
13	3	2	0.080000	0.390000	(13,21) (13,24) 
14	3	2	0.040000	0.420000	(11,26) (11,28) 
15	3	2	0.070000	0.440000	(25,46) (46,49) 
16	3	2	0.080000	0.650000	(13,36) (33,36) 
17	3	2	0.040000	0.520000	(10,32) (32,35) 
18	3	2	0.100000	0.520000	(26,27) (27,29) 
19	3	2	0.060000	0.890000	(33,40) (40,45) 
