Ind-ID	M0	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19
Ind0	0.500	0.600	0.600	0.500	0.600	0.400	0.700	0.600	0.600	0.500	0.100	0.000	0.000	0.000	0.100	0.100	0.100	0.000	0.200	0.300
Ind1	0.500	0.600	0.600	0.500	0.500	0.400	0.600	0.700	0.800	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ind2	0.500	0.600	0.600	0.500	0.500	0.500	0.600	0.600	0.600	0.700	0.100	0.000	0.200	0.100	0.000	0.200	0.000	0.000	0.300	0.100
Ind3	0.500	0.600	0.600	0.500	0.500	0.500	0.600	0.600	0.600	0.600	0.000	0.000	0.200	0.000	0.000	0.000	0.100	0.000	0.100	0.000
Ind4	0.400	0.600	0.500	0.400	0.500	0.600	0.700	0.800	0.700	0.600	0.100	0.000	0.200	0.100	0.000	0.000	0.000	0.100	0.200	0.000
Ind5	0.500	0.600	0.600	0.400	0.600	0.500	0.700	0.600	0.600	0.600	0.300	0.000	0.100	0.100	0.100	0.000	0.000	0.000	0.100	0.000
Ind6	0.500	0.600	0.600	0.500	0.500	0.500	0.600	0.600	0.600	0.600	0.100	0.000	0.000	0.000	0.100	0.200	0.000	0.200	0.000	0.000
Ind7	0.500	0.500	0.600	0.600	0.500	0.400	0.700	0.600	0.700	0.500	0.200	0.000	0.000	0.200	0.000	0.000	0.200	0.000	0.000	0.000
Ind8	0.600	0.500	0.700	0.600	0.400	0.400	0.700	0.600	0.700	0.500	0.300	0.000	0.100	0.000	0.000	0.000	0.100	0.000	0.000	0.100
Ind9	0.500	0.500	0.600	0.500	0.600	0.600	0.700	0.800	0.600	0.500	0.000	0.000	0.000	0.300	0.100	0.200	0.300	0.100	0.100	0.100
Ind10	0.000	0.300	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.200	0.400	0.400	0.700	0.400	0.400	0.500	0.700	0.600	0.500	0.900
Ind11	0.100	0.100	0.200	0.100	0.100	0.100	0.000	0.300	0.000	0.000	0.500	0.400	0.800	0.300	0.500	0.500	0.700	0.500	0.500	0.900
Ind12	0.100	0.100	0.100	0.400	0.100	0.200	0.400	0.100	0.200	0.200	0.600	0.300	0.700	0.400	0.400	0.600	0.700	0.600	0.600	0.900
Ind13	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.100	0.100	0.200	0.600	0.400	0.800	0.300	0.400	0.400	0.700	0.500	0.500	0.900
Ind14	0.000	0.100	0.000	0.100	0.100	0.200	0.200	0.100	0.100	0.000	0.500	0.400	0.600	0.600	0.500	0.400	0.600	0.500	0.500	0.800
Ind15	0.300	0.100	0.000	0.300	0.000	0.100	0.000	0.000	0.000	0.100	0.400	0.400	0.800	0.400	0.400	0.400	0.600	0.500	0.500	0.900
Ind16	0.200	0.000	0.100	0.000	0.200	0.000	0.000	0.200	0.100	0.100	0.500	0.400	0.700	0.400	0.400	0.400	0.600	0.500	0.500	0.900
Ind17	0.000	0.100	0.100	0.100	0.100	0.100	0.100	0.200	0.100	0.000	0.600	0.300	0.700	0.300	0.400	0.400	0.600	0.500	0.500	0.900
Ind18	0.100	0.000	0.000	0.000	0.000	0.100	0.100	0.000	0.100	0.200	0.500	0.400	0.800	0.400	0.500	0.400	0.700	0.500	0.500	0.900
Ind19	0.100	0.200	0.000	0.000	0.000	0.000	0.000	0.100	0.100	0.000	0.500	0.300	0.700	0.400	0.300	0.400	0.600	0.500	0.600	0.900
